company,group,spotify_monthly_listeners,spotify_url,source_date,notes
HYBE,BTS,37,818,601,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,2026-05-28,manual collection from Spotify artist profile
HYBE,SEVENTEEN,5,173,734,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,2026-05-28,manual collection from Spotify artist profile
HYBE,LE SSERAFIM,15,833,776,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2026-05-28,manual collection from Spotify artist profile
HYBE,NewJeans,13,711,554,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2026-05-28,manual collection from Spotify artist profile
JYP,TWICE,15,938,354,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,2026-05-28,manual collection from Spotify artist profile
JYP,Stray Kids,10,104,954,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,2026-05-28,manual collection from Spotify artist profile
SM,aespa,10,507,721,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,2026-05-28,manual collection from Spotify artist profile
SM,NCT,1,582,617 ,https://open.spotify.com/artist/48eO052eSDcn8aTxiv6QaG,2026-05-28,manual collection from Spotify artist profile
SM,EXO,5,882,812,https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O,2026-05-28,manual collection from Spotify artist profile
YG,BLACKPINK,22,011,126,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,2026-05-28,manual collection from Spotify artist profile
YG,BIGBANG,5,771,913,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,2026-05-28,manual collection from Spotify artist profile
